metric,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16
mean,108.6512222290039,350.0762023925781,94.31932067871094,78.06684875488281,73.72085571289062,66.2470932006836,366.1195068359375,509.7302551269531,402.0215759277344,736.3890991210938,1296.22802734375,751.25,1637.4388427734375,1726.60302734375,1777.186279296875,497.2725524902344
std,92.50099182128906,327.36834716796875,92.15046691894533,46.84038162231445,60.52261352539063,50.33957290649414,185.6284942626953,173.46295166015625,135.90097045898438,243.5582733154297,467.9722900390625,229.8920135498047,527.173095703125,536.1206665039062,513.6110229492188,116.19181060791016
